SMILES,ZINC_ID,ZINC_Protonation_ID
Cc1ccc(o1)CNC(=O)C2CCN(CC2)c3ccc(=O)n(n3)c4ccc(cc4)F,C21534955,P32107830
c1ccc(cc1)c2[nH]c(=S)n(n2)CN3CCN(CC3)S(=O)(=O)c4ccc(cc4)F,C13073601,P33168283
Cc1ccc(o1)CN(C)C(=O)CN2C(=O)[C@](NC2=O)(C)c3ccc(cc3Cl)Cl,C24137728,P35793855
c1ccc(cc1)C[C@@H]2C(=O)N(C(=O)N2)CN3CCC(CC3)C(=O)N4CCCCCC4,C12799210,P36291706
Cc1c(c(on1)C)S(=O)(=O)N2CCC(CC2)C(=O)N[C@@H]3CCC[C@H](C3)C(F)(F)F,C25144473,P37185840
COc1ccc2c(c1)cc(c(=O)[nH]2)[C@@H]3c4cc(c(cc4CCN3C(=O)C5CC5)OC)OC,C35313434,P52396444
Cc1c(sc(n1)C)C(=O)C2=C(C(=O)N([C@@H]2/C=C/c3ccccc3)c4nnc(s4)C)O,C35566262,P52787624
C=CCN1C2=C([C@@H](NC1=O)c3ccc(cc3)Cl)C(=O)N(C2)CC(=O)N4CCCC4,C35968915,P53399996
c1cc2c(cc1S(=O)(=O)N3CCN(CC3)CC(=O)NC4(CCCC4)C#N)CCC2,C35421832,P54087647
COc1ccc(cc1C(=O)C2=C(C(=O)N([C@H]2c3cccnc3)c4cccc[nH+]4)[O-])Cl,C13690216,P54376278
c1cc(oc1Cn2cc(cn2)Br)C(=O)N3[C@@](CC(=N3)C(F)F)(C(F)F)O,C00653383,P56359458
c1ccc2c(c1)N(C(=O)C[C@H](S2)c3ccco3)CC(=O)NCc4ccc5c(c4)OCO5,C04101512,P56552694
Cc1c(sc2c1c(=O)n(c(=O)n2CC(=O)NCc3ccco3)c4ccc(cc4)F)C,C02466835,P56796037
CC\1=NC2=NC(=NC(=O)[C@@H]2[C@H](/C1=C(/[O-])\OC)c3cc[nH+]cc3)SCc4ccccc4,C39360814,P59645664
C[C@@H]1C(=C2C(=NC(=NC2=O)[C@H](C)OC(=O)C[C@@H]3C(=O)Nc4ccccc4S3)S1)C,C39573490,P59997960
c1ccc(c(c1)CN2C[C@H](CC2=O)c3nc(on3)c4cc(n[nH]4)c5cccs5)Cl,C44428789,P67060257
Cc1c(c(=O)[nH]c(n1)c2ccncc2)CCC(=O)N3CCN(CC3)c4ccccc4F,C58014914,P87376793
[H]/N=C\1/C(=C\c2ccc(cc2)C(C)C)/C(=O)N=C3N1N=C(S3)S(=O)(=O)CC(C)C,C20208639,P87418322
CN(C)S(=O)(=O)c1ccc(nc1)SCc2[nH]c(=O)c3c4c(sc3n2)CCC4,C25613673,P87718285
CC(=O)Nc1cc(c(cc1Cl)C(=O)N2CCN(CC2)c3ccccc3OC)OC,C59290590,P90085957
Cc1nc(no1)C2(CCCCCC2)NC(=O)CS(=O)(=O)c3ccc(cc3)Cl,C53370914,P90373763
Cc1ccccc1n2c(cc(c2C)C(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccccn4)C,C60379438,P92220662
c1cc(c(=O)n(c1)CC(=O)Nc2ccc(cc2)Cl)S(=O)(=O)N3CCCCCC3,C49409261,P95116058
COC(=O)c1ccc2c(c1)n3c(nc2=O)[C@H](SC3=S)C(=O)NCc4ccccc4,C64460493,P98959077
c1ccn(c(=O)c1)CC(=O)/N=c/2\[nH]c3cc(ccc3n2Cc4ccco4)C(F)(F)F,C71813074,P111357727
Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)CNC(=O)c3ccc(cc3)Cl,C03408267,P128180015
C[C@H](c1[nH]c2c(n1)cc(cn2)Br)OC(=O)[C@H]3CCCN(C3)C(=O)C4CC4,C84647218,P132461295
C[C@@H]1CN(C[C@H](O1)C)C(=O)c2cc(ccc2NC(=O)c3ccc(c(c3)OC)OC)Cl,C12417928,P133577592
c1ccc(cc1)C[C@@H]2C(=O)N(C(=O)N2)Cc3nnc(o3)c4ccccc4Br,C02639322,P140425237
CS(=O)(=O)c1ccc(cc1C(F)F)NS(=O)(=O)c2ccc3c(c2)ccc(=O)o3,C95986667,P151171258
Cc1ccc(cc1)CN2C(=O)C3(CCN(CC3)C(=O)COc4ccc(cc4)F)NC2=O,C96105544,P151382627
Cc1cc(cc(c1)N2C(=O)/C(=C\c3cc(c(cc3OC)OC)OC)/C(=O)NC2=S)C,C33313587,P152645493
CN/C(=N/c1ccc2c(c1)OCO2)/S[C@H]3CC(=O)N(C3=O)c4ccc(cc4)Cl,C08396234,P156295670
CN(C)N1C2=C([C@H](C(=C1N)C#N)c3ccc(c(c3)OC)OC)C(=O)C[C@H](C2)c4ccccc4,C00691399,P06440212
C[C@H]1CCCN(C1)S(=O)(=O)c2ccc3c(c2)c(cc(=O)[nH]3)C(=O)NC4CCCC4,C03048306,P09861655
c1cc(ccc1c2nnc(o2)CSc3nnc(n3N)C(F)(F)F)Br,C08877952,P13631749
C[C@H]1CCC[C@H]([C@@H]1C)NC(=O)C2CCN(CC2)S(=O)(=O)c3ccc4c(c3)ccc(=O)[nH]4,C09439239,P14463018
C[C@@H]1CCc2c(sc(c2C(=O)NC)NC(=O)c3ccc(cc3)S(=O)(=O)N(C)C)C1,C09599738,P14708087
c1cc(ccc1CNC(=O)C(=O)Nc2ccc(cc2)N3CCCCS3(=O)=O)Cl,C10213431,P15543539
CN(C)S(=O)(=O)c1ccc(c(c1)NS(=O)(=O)c2ccc(s2)Br)O,C12525792,P19104202
CC(=O)Nc1ccccc1NC(=O)C2CCN(CC2)S(=O)(=O)c3ccc(cc3)Cl,C13568133,P20895813
Cc1ccc(c(c1)N2C[C@@H](CC2=O)C(=O)Nc3ccc(c(c3)Cl)NC(=O)C)OC,C14124336,P21685302
C[C@@H]1CC(=O)Nc2cc(ccc2S1)S(=O)(=O)Nc3ccc(c(c3)OC)OC,C15730282,P23725179
C[C@@H]1CC(=O)Nc2cc(ccc2S1)S(=O)(=O)NCc3ccc4c(c3)OCO4,C15730381,P23725340
C[C@@H]1CSc2ccc(cc2NC1=O)S(=O)(=O)Nc3ccc(cc3OC)OC,C15730607,P23725562
C[C@@H](c1cccs1)NC(=O)[C@@H](C)N2CC[C@@]3(CCC2=O)NC(=O)c4ccccc4O3,C19459652,P28778206
CCc1cc2c(s1)ncn(c2=O)CC(=O)NCCc3[nH]c4cc(c(cc4n3)C)C,C19714936,P29234051
CCOc1c(cc(cc1Br)[C@@H]2c3c(cc(n(c3=O)C)C)OC(=C2C#N)N)OC,C20086764,P29887474
CC1(Cc2c(sc3c2c(=O)n(c(=O)[nH]3)CC(=O)NCCc4ccccc4)CO1)C,C08739879,P30715822
c1cc(c(cc1S(=O)(=O)N)C(=O)OCc2cc3c(cc2Br)OCCO3)F,C21372156,P31908496
c1ccc2c(c1)NC3=C([C@H](N2CC(=O)NCc4cccnc4)c5ccco5)C(=O)CCC3,C21721954,P32348688
COc1cc(cc(c1O)OC)/C=C/2\C(=O)NN(C2=O)c3ccc(c(c3)Cl)Cl,C22033444,P32787610
c1cc(oc1)c2csc3c2c(=O)[nH]c(n3)CN4CCN(CC4)c5ccc(cc5)O,C23882500,P35441336
CN(Cc1[nH]c(=O)c2ccccc2n1)Cc3[nH]c(=O)c4c5c(sc4n3)CCCC5,C25286345,P37381594
COc1ccccc1NC(=O)C2CCN(CC2)C(=O)[C@@H]3C(=O)Nc4ccccc4S3,C33140694,P49030833
COc1ccc(cc1)NC(=O)[C@@H]2CCCN(C2)C(=O)[C@@H]3C(=O)Nc4ccccc4S3,C33282877,P49220338
Cc1c(c2c(s1)ncn(c2=O)CC(=O)NN/C=C/3\C=CC=CC3=O)c4ccccc4,C04464288,P50790561
CC(=O)N[C@@H]1[C@@H]([C@@H]2[C@@H](CO[C@@H](O2)c3ccccc3)O[C@@H]1Oc4ccccc4Cl)O,C35056597,P52036916
c1ccc2c(c1)CC(C2)n3c(=O)[nH]nc3SCc4cc(=O)oc5c4ccc(c5)O,C04333888,P57537003
Cc1c2c(c(nn1)[O-])[C@@H](O[C@@H]2C)NC(=O)C[NH+](C)Cc3ccc(cc3)Br,C39454574,P59801150
Cc1c\2c(oc1C(=O)NC(C)C)CCC/C2=N\NC(=O)c3cc(cnc3)Br,C40822999,P61976981
COc1ccc(cc1)N2C[C@H](CC2=O)C(=O)Nc3ccc4c(c3)[nH]c(=O)c5c4CCCC5,C49481116,P73879079
Cc1ccc(cc1C)N2C(=O)/C(=C\Nc3cc(ccc3OC)OC)/C(=O)NC2=S,C09244959,P75557890
CS(=O)(=O)N1CC[NH+](CC1)[C@@H](c2c3ccccc3[nH]c2c4ccccc4)C(=O)[O-],C32072095,P85860696
C[NH+]1CC[C@@]23[C@@H](C1)[C@@H](c4cccc(c4O2)OC)C(=C(N3)[O-])C(=O)c5ccccc5OC,C58084121,P87532936
Cc1cc(c(o1)C)c2csc(n2)NC(=O)CCc3[nH]c4c(c(c(s4)C)C)c(=O)n3,C58414334,P88225301
C[C@@H]1C(=CN=N1)CNC(=O)c2ccc3c(c2)NC(=O)/C(=C\c4cccc(c4)Cl)/O3,C63613238,P97685062
CCN(Cc1ccncc1)C(=O)c2cc(nc3c2cc(cc3C)C)c4cnc(nc4)N,C63845134,P98029436
c1ccc(c(c1)NC(=O)CS[C@@H]2N=NC(=O)[C@@H]3N2N[C@@H](C3)c4cccs4)Cl,C64701895,P99393481
c1ccc(cc1)CSC2=NC(=O)[C@@H]3[C@@H](CC(=O)NC3=N2)C(=O)Nc4ccccc4Cl,C64740866,P99465118
c1ccc(cc1)CSC2=NC(=O)[C@@H]3[C@H](CC(=O)NC3=N2)C(=O)Nc4ccc(cc4F)F,C64741021,P99465298
COc1ccc(cc1O)[C@@H]2CC(=O)NC3=NC(=NC(=O)[C@H]23)SCc4ccc(cc4)F,C64774259,P99528781
COc1ccc(cc1)S(=O)(=O)c2csc3c2NC(=O)C[C@H]3c4ccc(c(c4)O)OC,C64799119,P99566614
CCOC(=O)C1=C(NC(=O)N[C@H]1c2ccc(c(c2)F)F)CN3CCCN(CC3)C,C67286124,P103382641
CCOC(=O)N1CCC(CC1)NC(=O)c2cc(=O)[nH]c3c2cc(cc3)Br,C71775378,P111218102
CNC(=O)CN1CCC(CC1)NC(=O)N2CCCN(CC2)Cc3ccc(cc3)Cl,C71936459,P111631139
C[C@H]1CCCC[C@H]1NC(=O)C2CCN(CC2)S(=O)(=O)c3ccc4c(c3)CCC(=O)N4,C06578131,P126218880
COc1ccc(cc1)NC(=O)c2ccc(cc2)/N=C/3\N[C@H]4CS(=O)(=O)C[C@@H]4S3,C06918165,P132325373
CCOc1ccc(cc1)CNC(=O)[C@@H]2CCCN(C2)c3c(=O)[nH]c4ccccc4n3,C22595239,P134034422
c1ccc(c(c1)NC(=O)CN2C(=O)/C(=C/c3cccn3c4ccc(cc4)O)/SC2=O)F,C16450320,P149970916
Cc1c(c(n(n1)c2ccc(cc2)F)O)/C=C\3/C(=O)N(C(=O)N3)Cc4ccccc4F,C04354621,P151358584
Cc1ccc(c(c1)NS(=O)(=O)c2ccc3c(c2)NC(=O)[C@H](S3)C(=O)N4CCCC4)C,C65021426,P151953069
c1cc(oc1)/C=C/C=C/2\C(=NN(C2=O)c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,C34701651,P152416021
COc1ccc(cc1N2CCCCC2=O)NS(=O)(=O)c3ccc(c(c3)OC)OC,C05330187,P09718268
CC(=O)N(c1ccc(cn1)NS(=O)(=O)c2cccs2)S(=O)(=O)c3cccs3,C08636655,P13188778
Cc1ccc(c(c1N(C)S(=O)(=O)C)C)S(=O)(=O)NCCC(=O)N2CCCCC2,C08754070,P13437145
CCC[C@]1(C(=O)N(C(=O)N1)CC(=O)N(CC)[C@@H]2CCS(=O)(=O)C2)c3ccccc3,C09049002,P13887813
Cn1c2ccc(cc2oc1=O)S(=O)(=O)CCC(=O)Nc3cc(ccc3OC)Cl,C09266135,P14196978
CN1c2ccccc2N(C1=C(C#N)C(=O)CN3C(=O)[C@H](NC3=O)CCc4ccccc4)C,C03336039,P14538991
COc1ccc(cc1)[C@H]2CC(=NN2S(=O)(=O)C)c3ccccc3NS(=O)(=O)C,C09517140,P14584344
CCCCN([C@@H]1CCS(=O)(=O)C1)C(=O)CN2C(=O)[C@@]3(CCCc4c3cccc4)NC2=O,C09585139,P14688778
c1ccc2c(c1)c(c3c(n2)CCCC3)C(=O)OCC(=O)NCCN4C(=O)CSC4=O,C09631233,P14757021
c1cc2c(cc1S(=O)(=O)NCCC3=CCCCC3)OC[C@H](O2)C(=O)N4CCOCC4,C09683749,P14833686
CCN(CC)S(=O)(=O)N1CCN(CC1)C(=O)c2c[nH]nc2c3ccc(cc3)Cl,C10374762,P15745490
COc1ccc(cc1OC)CNC(=O)c2cc(ccc2Cl)N3C(=O)CCS3(=O)=O,C12004879,P17709235
c1cc(ccc1NC(=O)Cn2cc(ccc2=O)S(=O)(=O)N3CCCC3)N4CCCCC4,C08826457,P19813914
COc1ccc(cc1OC)CNC(=O)c2ccc(cc2Cl)N3C(=O)CCS3(=O)=O,C15858236,P23938931
Cc1c(sc(c1C(=O)OCC(=O)C(=C2N(c3ccccc3N2C)C)C#N)NC(=O)C)C,C16209389,P24532025
CC(C)(C)C(=O)C/C(=N/NC(=O)c1c(cnn1C)I)/C(=O)OC,C08397998,P25712808
Cc1[nH]c(=O)cc(n1)[C@@H]2CN(C[C@H]2c3ccc(cc3)OC)C(=O)[C@H](C)CN4CCOCC4,C19285462,P28497526
CCCc1cc(no1)C(=O)N2C[C@@H]([C@H](C2)C(=O)N(C)C)c3ccc(cc3)CNC(=O)C,C19698781,P29200431
CC(=O)N1CCc2c(c(nc(n2)[C@H]3CCCN3C(=O)CCc4ccccc4OC)NC)C1,C19710829,P29241644
Cc1c(sc(c1C#N)NC(=O)[C@@H](CCS(=O)(=O)C)N2C(=O)c3ccccc3C2=O)C,C21588004,P32175959
Cc1cc(=O)n2c(n1CC(=O)N(CCO)Cc3ccccc3)nc(n2)c4cccs4,C21803019,P32450547
Cc1ccc(cc1C(=O)N2CCN(CC2)C(=O)C3CC3)S(=O)(=O)Nc4ccccc4OC,C25167328,P37213029
CCN(Cc1ccccc1)C(=O)[C@@H]2CCCN(C2)S(=O)(=O)c3ccc4c(c3)NC(=O)CO4,C33021341,P48874833
Cc1cc(ccc1OC)S(=O)(=O)[C@@H]2CS(=O)(=O)C[C@@H]2NCc3ccc4c(c3)OCO4,C36593215,P54388600
CCOC(=O)CNC(=O)CN1c2ccccc2S(=O)(=O)[C@@H](CC1=O)c3ccccc3,C08931891,P56452633
Cc1cc(c(n1C2CC2)C)C(=O)CN3C(=O)[C@](NC3=O)(C)c4ccc(c(c4)OC)OC,C08073282,P56742021
CCN1C2=NC(=NC(=O)[C@H]2SC1=S)SCC(=O)Nc3cc(ccc3OC)OC,C38782423,P58726213
CCOC(=O)[C@H]1[C@H]2CCCC[C@@H]2S[C@@H]1NC(=O)CSC3=NC=N[C@@H]4C3=NC=N4,C39589374,P60024754
CC(=O)Nc1ccc(cc1)N2C(=O)/C(=C/c3ccc(c(c3OC)OC)OC)/SC2=O,C39861464,P60484192
C[C@H]1C(=C(N=N1)C)C(=O)C[C@]2(c3ccccc3N(C2=O)Cc4ccc(c(c4)OC)OC)O,C39964491,P60649810
Cc1c2c(ncn(c2=O)CC(=O)N3C[C@@H](C[C@@H](C3)C)C)sc1C(=O)NCCCOC,C08662479,P67646096
CCN1C(=O)c2ccccc2N3[C@]1(CCC3=O)C(=O)Nc4ccc(cc4)C(=O)OCC,C44917665,P67708401
CN(C[C@@H]1CCCN1C(=O)c2cc(c[nH]2)S(=O)(=O)N3CCOCC3)c4ccccc4,C58179570,P87794452
COc1ccccc1CNC(=O)[C@H]2c3nc(=O)c4cc(c(cc4n3C(=S)S2)OC)OC,C64460767,P98959351
CCOC(=O)c1cc(cn1C)S(=O)(=O)N2CCC[C@H]2C(=O)NC3CCC(CC3)C,C35478391,P99018920
c1cc(ccc1CNC(=O)C2CCN(CC2)S(=O)(=O)[C@H]3C=C[C@H](O3)[C@@H]4C=CN=N4)Cl,C64710624,P99409127
Cc1c(c(on1)C)S(=O)(=O)N2CCC(CC2)CC(=O)NCc3ccccc3OC,C65061331,P99959766
Cc1ccc(c(c1)N2CCN(CC2)CCCNC(=O)c3c(oc4c3c(=O)n(cn4)C)C)C,C65329539,P100425769
Cc1nc(on1)CNC(=O)C2CCN(CC2)C(=O)C(C)(C)Oc3ccc(cc3)Cl,C70655625,P109002565
c1ccc(cc1)OCCC(=O)N2CCC[C@@H](C2)C(=O)NCc3nnc4n3CCCCC4,C72008290,P111768381
Cc1c(c(n2c(n1)cc(n2)[C@@H]3CCCN3C(=O)C4CC4)C)CCC(=O)N[C@H]5CCCOC5,C72351317,P112487274
CCCN(C[C@@H]1CCCCO1)C(=O)c2c(oc3c2c(=O)n(c(=O)[nH]3)c4ccccc4)C,C78929319,P123203751
c1ccc2c(c1)c(=O)n(cn2)CCC(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCC4,C00818886,P126174972
c1ccc(cc1)S(=O)(=O)N(Cc2cc3cc4c(cc3[nH]c2=O)OCCO4)C[C@@H]5CCCO5,C08649073,P128075466
Cc1c(scn1)C(=O)N2CCC[C@@H](C2)CNC(=O)[C@@H]3CCCN3C(=O)OC(C)(C)C,C95444181,P149926877
Cc1ccc(o1)CNC(=O)c2c3ccccn3c(n2)c4cn(c(n4)C)Cc5csc(n5)C,C96155127,P151475694
CCN(CC(=O)N[C@H]1CCS(=O)(=O)C1)C(=O)/C=C\c2cc3c(cc2OC)C[C@@H](O3)C,C96820660,P153110413
CN(C)c1ccc(cc1)Cn2c(ccn2)NC(=O)CCn3cnc4c(c3=O)ccs4,C97012581,P153544967
CNC(=S)N(Cc1ccc2c(c1)OCO2)[C@H]3CC(=O)N(C3=O)c4ccc(cc4)OC,C15658789,P155218379
CC(=O)Nc1ccc(cc1)S(=O)(=O)N2C[C@H](C[C@@H]2C(=O)OC)Oc3ccccc3F,C98304277,P156365634
CC[NH+](CC)CCCN1[C@H](c2c(=O)c3cc(ccc3oc2C1=O)Br)c4ccc(cc4)OCC,C08834866,P13564526
CCc1ccc2c(c1)sc(n2)N(Cc3cccc[nH+]3)C(=O)[C@@H]4CCCN4S(=O)(=O)c5ccc(cc5)F,C08842302,P13575835
CCc1cccc2c1nc(s2)N(Cc3cccc[nH+]3)C(=O)[C@@H]4CCCN4S(=O)(=O)c5ccc(cc5)F,C08842308,P13575841
Cc1ccc(cc1)[C@H]2[C@@H]3C(=NC(=C2C#N)SCC(=O)N4CC[NH+](CC4)Cc5ccccc5)CCCC3=O,C09009058,P14292720
CC1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(=O)N(Cc3ccc[nH+]c3)c4nc5c(cccc5s4)F,C09242163,P14314264
CCCCN(C)S(=O)(=O)c1ccc(cc1)C(=O)N(Cc2ccc[nH+]c2)c3nc4c(c(ccc4s3)C)C,C09273591,P14377754
CCCCN(C)S(=O)(=O)c1ccc(cc1)C(=O)N(Cc2cccc[nH+]2)c3nc4cc(cc(c4s3)C)C,C09402445,P14404617
C[NH+](C)CCN(Cc1cc2ccc(cc2nc1c3ccc(cc3)OC)SC)C(=O)c4ccc5c(c4)OCO5,C11913348,P17749346
CCc1ccc2c(c1)sc(n2)N(CCC[NH+](C)C)C(=O)c3ccc(cc3)S(=O)(=O)N4CCCCC4,C12140960,P17870462
Cc1ccsc1C(=O)N(Cc2ccc(cc2)OC)Cc3cc4c(ccc(c4[nH+]c3N(C)C)OC)OC,C12163883,P17900210
Cc1cc(=O)c(c(n1Cc2cccc3c2cccc3)COC)C(=O)N4CC[NH+](CC4)[C@@H]5CCc6ccccc6C5,C12210406,P17957190
COc1ccc(c(c1)OC)C(=O)N2CCOc3c(cc(cc3OCCc4cccs4)c5ccc[nH+]c5)C2,C12247459,P20563932
Cc1ccc(cc1)S(=O)(=O)N2CCC[C@@H](C2)C(=O)N(Cc3ccc[nH+]c3)c4nc5ccccc5s4,C12665868,P20770058
Cc1cc(ccc1C(=O)[C@H]2[C@H](N(C(=O)C2=O)CC[NH+](C)C)c3ccc(c(c3)Cl)Cl)OCC(C)C,C16713800,P25216081
CCOC(=O)c1c2cc(c(cc2n(c1C[NH+]3CCN(CC3)CC#N)c4ccccc4)Br)OC,C19817681,P29427343
c1ccc(cc1)C[NH+]2CCN(CC2)CN3c4ccccc4[C@@]5(C3=O)N(C(=O)CS5)c6ccc(cc6)F,C20038494,P29814093
Cc1c(sc(c1C(=O)OC)N2C(=O)[C@@H]3[C@@H]4c5ccccc5C=C[NH+]4[C@@H]([C@@H]3C2=O)C(=O)c6cccs6)C,C20477672,P30527369
CCOc1ccc(cc1)n2cc(c3c2[nH+]cnc3N4CCN(CC4)C(=O)c5cccs5)c6ccccc6,C21796602,P32468213
c1ccc(cc1)C[NH+]2CCN(CC2)CN3c4ccccc4[C@@]5(C3=O)N(C(=O)CS5)c6ccc(cc6)Br,C22574685,P33527884
c1ccc(c(c1)C#N)c2ccc(cc2)COc3coc(cc3=O)C[NH+]4CCN(CC4)C(=O)Cc5cccs5,C23439575,P34827581
c1ccc(cc1)Oc2ccc(cc2)N\3[C@H]4CS(=O)(=O)C[C@H]4S/C3=[NH+]\C(=O)Cc5ccc(cc5)Cl,C32504319,P47882612
c1ccc(cc1)COc2ccc(cc2)N\3[C@@H]4CS(=O)(=O)C[C@H]4S/C3=[NH+]\C(=O)Cc5ccc(cc5)F,C32508163,P47898478
c1cc(sc1)CC(=O)N2CCCN(CC2)C(=O)C[NH+]3CCc4c(ccs4)[C@@H]3c5ccc(cc5)Cl,C34787566,P51635381
C[C@H]1CN(CCN1C(=O)COCc2ccccc2)C(=O)C[NH+]3CCc4c(ccs4)[C@@H]3c5ccc(cc5)OC,C34829693,P51688172
Cc1ccc(cc1)[C@H]2c3ccsc3CC[NH+]2CC(=O)N4CCN([C@@H](C4)C)S(=O)(=O)c5ccccc5,C34829987,P51688466
CC[NH+](CC)CCN1[C@@H](c2c(=O)c3cc(ccc3oc2C1=O)Br)c4cccc(c4)OCC=C,C35486248,P52656974
CC[NH+]1CCN(CC1)C(=O)CCN(Cc2ccccc2)c3c4ccccc4nc(n3)c5ccc(cc5)OC,C37383447,P55587021
COc1ccc(cc1)[C@H]2CC(=NN2S(=O)(=O)C)[C@@H]3C(=c4cc(ccc4=[NH+]C3=O)Cl)c5ccccc5,C38610501,P58446571
Cc1ccc(cc1)S(=O)(=O)N2CCC[C@@H]2C(=O)N(CCC[NH+](C)C)c3nc4c(ccc(c4s3)C)C,C36660312,P58715072
Cc1ccc(cc1)S(=O)(=O)N2CCC[C@H]2C(=O)N(CCC[NH+](C)C)c3nc4c(c(ccc4s3)C)C,C36660323,P58715112
Cc1ccc(c2c1nc(s2)N(CCC[NH+](C)C)C(=O)CCS(=O)(=O)c3ccc(cc3)Cl)Cl,C36698081,P58792167
CC[NH+](CC)CCN(c1nc2ccc(cc2s1)S(=O)(=O)C)C(=O)c3c(c4ccccc4s3)Cl,C38845433,P58847829
C[NH+](C)CCN(c1nc2ccc(cc2s1)S(=O)(=O)C)C(=O)C3(CCCC3)c4ccc(cc4)Cl,C38845779,P58848534
c1cc2c(cc1Br)sc(n2)N(CCCn3cc[nH+]c3)C(=O)c4ccc(o4)Br,C38847887,P58855400
Cc1cccc([nH+]1)N2[C@H](c3c(=O)c4cc(ccc4oc3C2=O)Br)c5ccc(cc5)OCC=C,C39838650,P60457288
Cc1cccc([nH+]1)N2[C@H](c3c(=O)c4cc(ccc4oc3C2=O)Br)c5cccc(c5)OCC=C,C39838656,P60457294
CC[NH+](CC)CCCN1[C@@H](c2c(=O)c3cc(ccc3oc2C1=O)Cl)c4ccc(cc4)Br,C40014606,P60728869
c1cc[nH+]c(c1)N(Cc2cccc(c2)F)C(=O)c3ccc(o3)S(=O)(=O)c4ccc(cc4)Br,C40323116,P61220098
CC(C)CC(=O)/N=C/1\N([C@H]2CS(=O)(=O)C[C@@H]2S1)c3ccc(cc3)[NH+]4CCC(CC4)Cc5ccccc5,C32502661,P90906301
CC(C)CC(=O)/N=C/1\N([C@H]2CS(=O)(=O)C[C@H]2S1)c3ccc(cc3)[NH+]4CCC(CC4)Cc5ccccc5,C32502659,P90906316
Cc1ccccc1[C@H]2[C@H]3C(=c4ccccc4=[NH+]3)C[C@@H]5N2C(=O)CN(C5=O)CCc6ccc(c(c6)OC)OC,C63140525,P96952769
CCOc1ccc(cc1OC)[C@H]2[C@@H]3C(=c4ccccc4=[NH+]3)C[C@@H]5N2C(=O)CN(C5=O)CCC6=CCCCC6,C63141978,P96954222
C[C@@]12[C@@H]3C(=c4ccccc4=[NH+]3)[C@@H](CN1C(=O)CN(C2=O)CCc5ccc(cc5)OC)c6ccccc6OC,C63372811,P97320886
CCCOc1ccc(cc1OCC)[C@H]2CN3C(=O)CN(C(=O)[C@@]3([C@H]4C2=c5ccccc5=[NH+]4)C)C6CCCC6,C63375029,P97323486
CCCOc1ccc(cc1OCC)[C@@H]2CN3C(=O)CN(C(=O)[C@@]3([C@@H]4C2=c5ccccc5=[NH+]4)C)[C@@H](C)CC,C63375141,P97323709
CCCOc1c(cc(cc1I)/C=[NH+]\c2c(n(n(c2=O)c3ccccc3)C)C)OCC,C59484746,P130314928
