sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles
27,"Compound 73 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)[Cl])nn1)Sc1nncn1C
28,"Compound 89 (S) (Page No: 78, Table No: 1)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(C#N)cc2)nn1)Sc1nncn1C
29,"Compound 98 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(C#N)c2)nn1)Sc1nncn1C
30,"Compound 96 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(N)=O)nn1)Sc1nncn1C
31,"Compound 87 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(N)=O)nn1)Sc1nncn1C
32,"Compound 94 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(NC)=O)nn1)Sc1nncn1C
33,"Compound 83 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(NC)=O)nn1)Sc1nncn1C
34,"Compound 91 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(O)=O)nn1)Sc1nncn1C
35,"Compound 81 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(O)=O)nn1)Sc1nncn1C
36,"Compound 67 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C
37,"Compound 68 (R) (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@H](c1cccc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C
38,"Compound 56 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,Cc1cccc(c1)c1cc(c2cccc(c2)[C@H](C)Sc2nncn2C)on1
39,"Compound 55 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,Cc1ccc(cc1)c1cc(c2cccc(c2)[C@H](C)Sc2nncn2C)on1
40,"Compound 64 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(CO)cc2)no1)Sc1nncn1C
41,"Compound 58 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)[Cl])no1)Sc1nncn1C
42,"Compound 57 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)[Cl])no1)Sc1nncn1C
43,"Compound 62 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2cccc(C#N)c2)no1)Sc1nncn1C
44,"Compound 61 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(C#N)cc2)no1)Sc1nncn1C
45,"Compound 69 (Page No: 78, Table No: 1)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)C(F)(F)F)no1)Sc1nncn1C
46,"Compound 59 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)OC)no1)Sc1nncn1C
47,"Compound 60 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)OC)no1)Sc1nncn1C
48,"Compound 65 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)C(NC)=O)no1)Sc1nncn1C
49,"Compound 63 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)C(O)=O)no1)Sc1nncn1C
50,"Compound 66 (S) (Page No: 77, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)S(C)(=O)=O)no1)Sc1nncn1C
51,"Compound 70 (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)c1cc(c2ccccn2)no1)Sc1nncn1C
52,"Compound 71 (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1ccnc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C
53,"Compound 105 (R) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1cc(c2ccccn2)n[nH]1
54,"Compound 106 (R) (Page No: 79, Table No: 5)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1cc(c2ncccn2)n[nH]1
55,"Compound 116 (R) (Page No: 80, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(ccc(C(F)(F)F)n2)n[nH]1
56,"Compound 118 (R) (Page No: 80, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(cccn2)[nH]n1
57,"Compound 119 (R) (Page No: 80, Table No: 2)",WO 2021/021761 A1,1001-5000,Cc1ccc2c(c(c3cccc(c3)[C@H](C)Cc3nncn3C)n[nH]2)n1
58,"Compound 120 (R) (Page No: 80, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(cc(cn2)C2CCC2)[nH]n1
59,"Compound 110 (R) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(cc(C(F)(F)F)n2)N2CC(C2)O)n[nH]1
60,"Compound 111 (Stereo) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(cc(C(F)(F)F)n2)N2CC[C@@H](C2)O)n[nH]1
61,"Compound 112 (Stereo) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(cc(C(F)(F)F)n2)N2CC[C@@H](C2)O)n[nH]1
62,"Compound 109 (R) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(cc(C(F)(F)F)n2)N2CCC(CC2)O)n[nH]1
63,"Compound 117 (R) (Page No: 80, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(ccn2)N2CCC(CC2)O)[nH]n1
64,"Compound 113 (Stereo) (Page No: 80, Table No: 2)",WO 2021/021761 A1,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)c1c2c(c(CN3CC[C@@H](C3)F)cc(C(F)(F)F)n2)n[nH]1
65,"Compound 16 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CCc2cccnc12)=O
66,"Compound 22 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CC(C)(C)c2cccnc12)=O
67,"Compound 9 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CCCc2cccnc12)=O
68,"Compound 30 (Page No: 57, Table No: 1)",WO 2021/021761 A1,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(N1CC2(CCNCC2)c2cccnc12)=O
69,"Compound 31 (Page No: 57, Table No: 1)",WO 2021/021761 A1,101-1000,CN1CCC2(CC1)CN(C(Nc1cccc(c1)C1(Cc3nncn3C)COC1)=O)c1c2cccn1
70,"Compound 25 (Stereo) (Page No: 57, Table No: 1)",WO 2021/021761 A1,101-1000,Cn1cnnc1[C@@H]1C[C@@H]1c1cccc(c1)NC(N1CCOc2cccnc12)=O
71,"Compound 166 (Stereo) (Page No: 60, Table No: 1)",WO 2021/021761 A1,>5000,Cn1cnnc1[C@H]1C[C@H]1c1cccc(c1)NC(N1CCOc2cccnc12)=O
72,"Compound 10 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CCOc2cccnc12)=O
73,"Compound 19 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CC(C)(C)Oc2cccnc12)=O
74,"Compound 21 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(N1CCOc2cc(cnc12)[Br])=O
75,"Compound 23 (Page No: 57, Table No: 1)",WO 2021/021761 A1,101-1000,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(N1CCOc2cccnc12)=O
76,"Compound 24 (R) (Page No: 57, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@@](c1cccc(c1)NC(N1CCOc2cccnc12)=O)(C(c1nncn1C)(F)F)F
77,"Compound 27 (Page No: 57, Table No: 1)",WO 2021/021761 A1,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(N1CC2(CNC2)Oc2cccnc12)=O
78,"Compound 29 (Page No: 57, Table No: 1)",WO 2021/021761 A1,<100,CN1CC2(C1)CN(C(Nc1cccc(c1)C1(Cc3nncn3C)COC1)=O)c1c(cccn1)O2
79,"Compound 26 (Stereo) (Page No: 57, Table No: 1)",WO 2021/021761 A1,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(N1C[C@@]2(CCNC2)Oc2cccnc12)=O
80,"Compound 28 (R) (Page No: 57, Table No: 1)",WO 2021/021761 A1,<100,C[C@@](c1cccc(c1)NC(N1CC2(CNC2)Oc2cccnc12)=O)(C(c1nncn1C)(F)F)F
81,"Compound 13 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,Cc1cccc2CN(Cc12)C(Nc1cccc(c1)[C@H](C)Cc1nncn1C)=O
82,Example 256 (R) (Page No: 471),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cccc2[Br])C1=O
83,Example 257 (R) (Page No: 471),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(ccnc2C2CC2)C1=O
84,Example 258 (R) (Page No: 472),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(ccnc2C2CCC2)C1=O
85,Example 372 (R) (Page No: 549),WO2019148005,301-1000,Cc1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)[C@H](C)Cc1nncn1C)=O
86,Example 370 (R) (Page No: 548),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(C3CC3)nc2C2CC2)C1=O
87,Example 259 (R) (Page No: 473),WO2019148005,301-1000,CC(C)c1c2CN(C(c2ccn1)=O)c1cccc(c1)[C@H](C)Cc1nncn1C
88,Example 692 (Page No: 769),WO2019148005,<100,Cc1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
89,Example 568 (Page No: 696),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(C3CC3)nc2C2CC2)C1=O
90,Example 677 (Page No: 759),WO2019148005,301-1000,Cc1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(COC1)C(c1nncn1C)(F)F)=O
91,Example 371 (R) (Page No: 549),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(ccnc2C(F)(F)F)C1=O
92,Example 369 (Stereo) (Page No: 548),WO2019148005,301-1000,Cn1cnnc1[C@@H]1C[C@@H]1c1cccc(c1)N1Cc2c(ccnc2C(F)(F)F)C1=O
93,Example 373 (R) (Page No: 550),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(ccnc2C(C)(C)F)C1=O
94,Example 696 (Page No: 773),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(ccnc2C(F)(F)F)C1=O
95,Example 579 (Page No: 704),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC3)nc2C2CC2)C1=O
96,Example 584 (+/-) (Page No: 707),WO2019148005,<100,CC(c1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCCC1
97,Example 587 (+/-) (Page No: 709),WO2019148005,<100,CC(c1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCCCC1
98,Example 586 (+/-) (Page No: 708),WO2019148005,<100,CC(c1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC2(CC2)C1
99,Example 585 (+/-) (Page No: 708),WO2019148005,<100,CC(c1cc2C(N(Cc2c(C2CC2)n1)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC2(CC2)C1
100,Example 578 (S) (Page No: 703),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)nc2C2CC2)C1=O
101,Example 609 (Page No: 720),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(nc2C2CC2)N2CC(C2)C(F)F)C1=O
102,Example 255a (R) (Page No: 470),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
103,"Example 255b (S) (Page No: 75, Table No: 1)",WO2019148005,1001-3000,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
104,Example 299 (Page No: 505),WO2019148005,<100,Cn1cnnc1CC1(CC1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
105,Example 300 (Page No: 507),WO2019148005,<100,CC(C)(Cc1nncn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
106,Example 375 (Stereo) (Page No: 553),WO2019148005,<100,C[C@H]1[C@H](c2cccc(c2)N2Cc3c(cccc3C(F)(F)F)C2=O)[C@@H]1c1nncn1C
107,Example 282 (Stereo) (Page No: 491),WO2019148005,301-1000,Cn1cnnc1[C@@H]1C[C@@H]1c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
108,Example 283b (Stereo) (Page No: 494),WO2019148005,301-1000,Cn1cnnc1[C@@H]1CC[C@@H]1c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
109,Example 283 (cis) (+/-) (Page No: 491),WO2019148005,301-1000,Cn1cnnc1C1CCC1c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
110,Example 260 (R) (Page No: 474),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O
111,Example 476 (+/-) (Page No: 625),WO2019148005,301-1000,CC(Cc1nncn1C)c1cc(cc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C1CCC1
112,Example 477 (Page No: 627),WO2019148005,<100,CC(C)(Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O
113,Example 617 (R) (Page No: 724),WO2019148005,101-300,Cn1cnnc1C[C@@H](C(F)F)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
114,Example 471a (R) (Page No: 619),WO2019148005,101-300,Cn1cnnc1C[C@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(F)(F)F
115,Example 289 (+/-) (Page No: 496),WO2019148005,301-1000,Cn1cnnc1CC(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(F)(F)F
116,Example 471b (S) (Page No: 619),WO2019148005,3001-10000,Cn1cnnc1C[C@@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(F)(F)F
117,Example 527 (Page No: 667),WO2019148005,<100,Cn1cnnc1CC1(CC(C1)(F)F)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
118,Example 298 (+/-) (Page No: 504),WO2019148005,101-300,CC(Cc1nncn1C)(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)F
119,Example 298b (S) (Page No: 505),WO2019148005,101-300,C[C@](Cc1nncn1C)(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)F
120,Example 298a (R) (Page No: 505),WO2019148005,1001-3000,C[C@@](Cc1nncn1C)(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)F
121,Example 281 (+/-) (Page No: 489),WO2019148005,101-300,CC(Cc1nncn1C)c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O
122,Example 281a (R) (Page No: 489),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O
123,Example 281b (S) (Page No: 489),WO2019148005,3001-10000,C[C@@H](Cc1nncn1C)c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O
124,Example 280 (R) (Page No: 487),WO2019148005,3001-10000,C[C@H](Cc1nncn1C)c1cc(ccc1F)N1Cc2c(cccc2C(F)(F)F)C1=O
125,Example 470 (Stereo) (Page No: 617),WO2019148005,101-300,Cn1cnnc1CC1(CC(C1)CO)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
126,Example 392 (R) (Page No: 567),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CO)cc2C(F)(F)F)C1=O
127,Example 436 (R) (Page No: 590),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@@H](C)Cc1nncn1C)=O)O
128,Example 374 (R) (Page No: 552),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(C)(C)O)C1=O
129,Example 273 (R) (Page No: 483),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(O)=O)C1=O
130,Example 263 (R) (Page No: 476),WO2019148005,3001-10000,C[C@H](Cc1ncn(C)n1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
131,Example 264 (R) (Page No: 476),WO2019148005,3001-10000,C[C@H](Cc1ncnn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
132,Example 292 (cis) (Page No: 498),WO2019148005,1001-3000,C[C@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@@H](c1nncn1C)O
133,Example 383 (Stereo) (Page No: 560),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@H]2CCCNC2)C1=O
134,Example 382 (Stereo) (Page No: 560),WO2019148005,101-300,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@H]2CCCNC2)C1=O
135,Example 265 (R) (Page No: 476),WO2019148005,301-1000,C[C@H](Cc1nncn1C1CC1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
136,Example 408 (Stereo) (Page No: 575),WO2019148005,101-300,Cn1cnnc1[C@@H]1C[C@@H]1c1cccc(c1)N1Cc2c(cc(C#N)cc2C(F)(F)F)C1=O
137,Example 293 (trans) (Page No: 500),WO2019148005,101-300,C[C@@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@@H](c1nncn1C)F
138,Example 474a (Stereo) (Page No: 621),WO2019148005,<100,C[C@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@@H](c1nncn1C)F
139,Example 473 (+/-) (Page No: 621),WO2019148005,301-1000,CC(C(c1nncn1C)F)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
140,Example 467a (S) (Page No: 610),WO2019148005,101-300,C[C@@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(c1nncn1C)(F)F
141,Example 294 (+/-) (Page No: 501),WO2019148005,301-1000,CC(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(c1nncn1C)(F)F
142,Example 479 (Stereo) (Page No: 628),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@@H](c1nncn1C)F)F
143,Example 480 (Stereo) (Page No: 628),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@@H](c1nncn1C)F)F
144,Example 478a (Stereo) (Page No: 628),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@H](c1nncn1C)F)F
145,Example 478b (Stereo) (Page No: 628),WO2019148005,1001-3000,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)([C@H](c1nncn1C)F)F
146,Example 296a (R) (Page No: 503),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
147,Example 296 (+/-) (Page No: 503),WO2019148005,301-1000,CC(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
148,Example 296b (S) (Page No: 503),WO2019148005,3001-10000,C[C@](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
149,Example 481a (Stereo) (Page No: 632),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@H](c1nncn1C)F)F
150,Example 481b (Stereo) (Page No: 632),WO2019148005,1001-3000,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@H](c1nncn1C)F)F
151,Example 483 (Stereo) (Page No: 632),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@@H](c1nncn1C)F)F
