ligand,code1,code2
[H]/N=C\1/C(=C/c2cccn2c3c(cccc3C)C)/C(=O)N=C4N1N=C(S4)C,C41108078,P62384239
COc1cc2cccnc2c(c1)NC(=O)[C@@H]3COc4ccccc4O3,C44450774,P67092385
CC1(CC2=C([C@H](n3c(nc(n3)SC)N2)c4cccnc4)C(=O)C1)C,C09015928,P75746660
c1ccc2c(c1)nc(s2)/N=C(/C[NH+]3CCC4(CC3)OCCO4)\[O-],C51537045,P77221712
Cc1cc(c(n1C2CCCCC2)C)/C=C/3\C(=O)NC(=O)N(C3=O)C,C57462792,P86309436
[H]/N=C\1/C(=C\c2ccc(cc2)Cl)/C(=O)N=C3N1N=C(S3)N4CCCC4,C20356245,P87486335
Cc1cc(nc(n1)n2c3c(c(n2)C)[C@H](CC(=O)N3)c4ccccc4)C,C35373064,P87562891
c1ccc2c(c1)cc(o2)c3c(c[nH]n3)/C=C(/C#N)\C(=O)N4CCCC4,C58357870,P88110306
Cc1ccc(c(c1)F)NS(=O)(=O)c2cc3n(c2)CCN(C3=O)C,C65254681,P100291897
Cc1ccn2c(c1)nc3c2[C@@H](CC(=O)NC3)c4ccc5c(c4)OCCO5,C65530220,P100799355
c1ccc2c(c1)c(=O)n(c(=O)[nH]2)Cc3ccc(c(c3)F)n4ccnc4,C67555867,P103742997
Cc1cc2c(cc(=O)oc2cc1C)CN3C(=O)[C@@]4(CCSC4)NC3=O,C22700776,P106008605
c1cc(cnc1)c2cc(nc(n2)c3cccnc3)N4CCCNCC4,C70451960,P108643083
C[C@H]1C[C@@]2(CC(C1)(C)C)C(=O)N(C(=O)N2)CN3C[C@@H](OC[C@@H]3C)C,C71872215,P111499068
Cc1c2c(cc(=O)n1c3ccncc3)[nH]n(c2=O)c4ccc(cc4)Cl,C72445884,P112705522
CC[C@]1(C(=O)N(C(=O)N1)CC(=O)N2CCCc3c2c(ccc3)F)C,C73784486,P114922672
c1ccc2c(c1)C[C@H](OC2=O)C(=O)[C@H](C#N)c3[nH]c4ccccc4n3,C41495032,P115240668
Cn1cc(cn1)c2ccc(nn2)N3CCC(=CC3)c4ccc(cc4)O,C76062662,P118598801
C[C@@H]1CC(=CC(=O)[C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)O,C03978450,P120588979
C[C@@H]1CCN([C@H](C1)C)C(=O)CN2C(=O)C3(CCC(CC3)C)NC2=O,C78009274,P121711190
c1ccc2c(c1)c(=O)n(nn2)CC(=O)Nc3cc(c(c(c3)F)F)F,C78124608,P121862245
Cc1ccc2c(c1)c(=O)n(c(n2)SCc3cc(=O)c(co3)O)C,C78807450,P122992831
CNS(=O)(=O)c1ccc(cc1)n2c(=O)c(c(cn2)Cl)Cl,C78882449,P123109991
CN(C)C(=O)N1CCN(CC1)C(=O)N[C@H]2CCC[C@@H](C2)C(F)(F)F,C79089963,P123468480
c1c(c(cc(c1Br)F)Cl)NC(=O)Cn2cnnn2,C81659493,P127393444
Cc1ccc/c(=N\C(=O)C2=C(S(=O)(=O)CCO2)c3ccccc3)/[nH]1,C32092947,P128428467
COc1ccc(cc1[C@@H]2[C@H](CCC(=O)N2)[N+](=O)[O-])Br,C00088907,P133577633
c1c(ncc(n1)Br)NS(=O)(=O)N2CCCCCC2,C88448409,P138353753
Cc1cc(no1)CS(=O)(=O)/N=c\2/ccc(c[nH]2)Br,C88448301,P138354633
C[C@@]12C[C@@H](CC(C1)(C)C)N(C2)C(=O)c3cnc([nH]c3=O)c4cccnc4,C91934268,P143915876
C[C@@]12C[C@@H](CC(C1)(C)C)N(C2)C(=O)c3c[nH]c(nc3=O)c4cccnc4,C91934268,P143918185
Cc1ccc(c(c1)C(=O)N2CCOC[C@@H]2c3c(nn(c3C)C)C)O,C95983646,P151161685
c1ccc2c(c1)c3c([nH]2)CN4[C@H](C3)C(=O)N(CC4=O)/N=C\c5cccs5,C33923498,P154528970
Cc1c2c(n(n1)c3ncccn3)N=C(C[C@@H]2c4c(cccc4Cl)F)O,C20738339,P155882959
Cc1c(c(on1)C)[C@H]2c3cnn(c3N=C(CS2)O)c4ccccc4,C44892677,P155887795
Cc1cc(cc(=O)n1C)O[C@@H]2CCN(C2)C(=O)Nc3cccs3,C98275852,P156317490
C[C@H]1[C@@H]2[C@@H](C(=O)N(C2=O)c3ccccc3)C4(N1)C(=O)c5ccccc5C4=O,C18159020,P156442294
CC[C@H](C)NC(=O)CSc1nnc2n1c(cc(n2)C)C,C05213387,P07708028
Cc1cc(ccc1OCC(=O)NC)S(=O)(=O)N2CCCC2,C04487088,P10208346
CCn1c(nnc1S)CNS(=O)(=O)c2ccc(cc2)C,C13483148,P20748077
CC1=C(C(=O)/C(=C\c2cc(ccc2OC)OC)/N1)C(=O)OC,C04094867,P29497804
CC(C)c1nnc(n1[C@@H]2C[NH+]3CCC2CC3)SCC(=O)[O-],C20591966,P30718529
CC[C@@H](C)NC(=O)c1cc(cn1C)S(=O)(=O)N2CCCC2,C21526282,P32098916
CC(C)OC(=O)CN1C(=O)[C@@](NC1=O)(C)c2ccc(cc2)F,C21733885,P32363711
Cn1cc(ccc1=O)NCc2c(nc(s2)N(C)C)OC,C37785794,P56186644
COC(=O)[C@H]1CCCCN1C(=O)CC2(CCCC2)C(=O)O,C37828341,P56268838
C[C@@H](C(=O)Nc1ccnn1C(C)C)Sc2nccn2C,C23875101,P60019831
CCc1c(snn1)C(=O)NCCN2C[C@H](O[C@@H](C2)C)C,C40489485,P61466812
c1ccc(cc1)c2nnc(o2)CCC(=O)NC3=NCCS3,C44870485,P67644461
C[C@@H](c1ccc(cc1)S(=O)(=O)N(C)C)Nc2ncccn2,C44977087,P67794112
CNc1ncc(cn1)S(=O)(=O)N(C)Cc2ccccc2F,C50673978,P75792194
CC(=O)CN1C(=O)[C@](NC1=O)(C)c2ccc(cc2)OC(F)F,C03464593,P86371784
CCOc1ccc(cc1)n2c(c(nn2)CO)c3cccnc3,C62235647,P95503676
CC(=O)NCC1=CCCN(C1)Cc2nc(on2)c3ccccc3,C65405648,P100571337
CCOC(=O)N1CCC(CC1)NC(=O)CN2CCC(CC2)C,C66862534,P102754923
CC1([C@H]([C@@H]1C(=O)O)C(=O)N2CCCC[C@@H]2CC(=O)OC)C,C68688607,P105507791
Cc1c[nH+]c(c(c1OC)C)C[S@](=O)c2ccc(o2)C(=O)[O-],C69364343,P106665553
Cc1[nH]c(cn1)S(=O)(=O)N(C)[C@H](C)c2ccccc2OC,C70421330,P108578454
CN([C@H]1CCNC1)S(=O)(=O)c2ccc(cc2OC)OC,C71310364,P110249587
CCOCCS(=O)(=O)N1CC/C(=N/O)/c2c1cccc2,C71379372,P110404778
COCCCS(=O)(=O)N1CC/C(=N/O)/c2c1cccc2,C71379384,P110404790
CCc1nc2c(s1)c(nn(c2=O)CC(=O)N[C@H](C)CC)C,C75551659,P117602901
CC1CCN(CC1)c2ccc(c[nH+]2)C[N-]S(=O)(=O)N(C)C,C75789051,P118079109
C[C@@H]1CN(C[C@@H](O1)C)C(=O)NCCCCN2CCN(CC2)C,C78441102,P122398488
C[C@H](CC(=O)Nc1ccccc1c2nncn2C)n3cccc3,C78764355,P122913485
CCCNC(=O)Cc1c(nc2nc(nn2c1C)SC)C,C78994134,P123303489
CC(C)(C)OC(=O)[C@@H]1C[C@@H](CCN1C(=O)OC(C)(C)C)O,C79026085,P123364790
Cc1nnc(s1)S[C@H](C)C(=O)Nc2ccnn2C(C)C,C07192289,P124092799
Cc1c(c(on1)C)C(=O)NCCn2ccc3c2ccc(c3)OC,C79484623,P124164138
CN(Cc1nc[nH]n1)S(=O)(=O)/C=C/c2ccc(cc2)Cl,C80527681,P125731511
C[C@H](CS(=O)(=O)C)Nc1cccc(c1)c2nncn2C,C81900263,P127738753
CCc1cc(n(n1)C)NC(=O)N(C)Cc2ncc(s2)CC,C83820361,P131118274
CC(C)N(C)C(=O)NC[C@H]([C@H]1CCOC1)N2CCOCC2,C86362480,P135226297
CC[C@H]1C(=O)N[C@H](C(=O)N1Cc2cc(on2)C)[C@@H](C)CC,C86385340,P135253425
CCS(=O)(=O)CCCN1[C@H](CC(=O)NC(C1=O)(C)C)C,C86983311,P136148042
CCC[C@@H]1C(=O)N(CC(=O)N1)Cc2c(c(nn2CC)C)Cl,C89305813,P139649775
CCC1(CN(C1)S(=O)(=O)c2cc(ccc2OC)OC)O,C89652551,P140155318
CCNCc1cn(nn1)Cc2cc3c(c(c2)Cl)OCCO3,C90296254,P141162811
CCOC(=O)[C@@]12CCNC[C@@H]1CN(C2)C(=O)OC(C)(C)C,C40443104,P142825045
CCc1c2c(n(n1)C)n(c(n2)[C@@H](C)Cl)CC(=O)NC(C)C,C92579005,P144906650
CCc1c2c(n(n1)C)n(c(n2)CCl)[C@H](C)C(=O)NCC,C92579174,P144906819
COC[C@H](Cc1nc(no1)c2c(cc(cn2)Cl)Cl)O,C94203493,P147635480
CN1CCC[NH+](CC1)[C@@H](c2cc(ccc2OC)OC)C(=O)[O-],C95389447,P149836302
CCn1cc([nH+]c1C)S(=O)(=O)[N-]c2ccccc2N(C)C,C95453618,P149940136
CCOC(=O)/C(=C/c1c(=O)c2ccccc2[nH]c1N(C)C)/C#N,C28538176,P150970462
CCN1CCN(CC1)C[C@H](C)CNC(=O)N2CCOCC2,C97094527,P153710753
c1ccc(cc1)S(=O)(=O)NCCn2c3c(cn2)COCC3,C98296496,P156355709
Cc1cc2c(c(=O)o1)[C@H](C(=C(O2)N)C#N)c3ccc(cc3)OC,C00196617,P05642051
CC1=N[C@]2(c3ccccc3C(=O)[C@]2(C1C(=O)OC4CCCC4)O)O,C00249764,P10472755
Cc1ccccc1C(=O)N[C@@]2(C(=O)N(C(=O)N2)C)C(F)(F)F,C12409946,P18235506
c1cc(c(cc1O)O)/C=N/N2C(=O)[C@@H]3[C@@H]4C=C[C@H]([C@@H]3C2=O)[C@H]5[C@@H]4C5,C15835889,P23866493
COc1cc2c(cc1OC)NC3=C([C@@H]2c4[nH]ccn4)C(=O)CCC3,C18196938,P27206017
c1cc2c(cc1S(=O)(=O)N)CCN2Cc3c(snn3)Cl,C24716991,P36595258
CC(C)(c1ccccc1)C(=O)N2CCC3(CC2)C(=O)NC(=O)N3,C32904506,P48706726
Cc1ccoc1C(=O)N2CCc3c2ccc(c3)S(=O)(=O)N,C40216676,P61051905
Cc1ccc(c(c1)C)/C(=N/c2nnc(o2)C3CC[NH2+]CC3)/[O-],C40539842,P61557085
Cc1cc(nn1C)NC(=O)[C@@]2(C(=O)Nc3ccccc3S2)C,C41644549,P63114686
Cc1[nH+]c(cn1C)S(=O)(=O)[N-]c2cccc3c2NCCC3,C50253474,P75157174
Cc1c(=O)nc([nH]n1)N/N=C/c2ccccc2Br,C12341105,P75294726
c1cc(c(cc1N)C(=O)N2CCc3c(ccs3)C2)[N+](=O)[O-],C50698000,P75828272
CS(=O)(=O)Cc1nc(on1)c2cc3ccccc3cc2N,C52788353,P79093258
CS(=O)(=O)c1ccc(cc1)c2nc(on2)c3ccc(cc3)N,C53993932,P81204692
CCSc1nc2n(n1)[C@@H](C3=C(N2)CCCC3=O)c4cc[nH]c4,C17053386,P81902702
C[C@H]1CC[C@@H](CN1S(=O)(=O)N2C[C@@H](C[C@@H](C2)C)C)C(=O)N,C56100494,P84369409
C1CCC(CC1)NC(=O)[C@H]2NC(=NO2)C3=C[C@H]4C(=CC=N4)C=C3,C39955163,P97203651
Cn1cc(c(n1)c2ccncc2)[C@@H]3Nc4ccc(cc4C(=O)N3)Cl,C63499387,P97503581
c1ccc2c(c1)ccc(n2)C(=O)N3CCC(CC3)c4cc(on4)N,C65167639,P100136372
COc1ccc(cc1O)[C@@H]2CC(=O)NCc3c2n4ccccc4n3,C65373806,P100487820
Cc1c(c(=O)[nH]c(=O)[nH]1)c2ccc(cc2)[C@H](C)N3CCOCC3,C67817247,P104127069
Cc1c2c(oc1C(=O)N3CCC[C@H](C3)C(=O)N)CC(CC2=O)(C)C,C69350015,P106644143
Cc1cn2c(n1)CC[C@H](C2)NC(=O)c3cc4c([nH]c3=O)CCCC4,C72273578,P112318530
COc1ccc(c(c1)OC)[C@H]2c3cn[nH]c3N=C(CS2)O,C20731892,P115773369
c1cc(cc(c1)NS(=O)(=O)c2cc(c(=O)[nH]c2)Cl)C#N,C81674913,P127433419
c1cc(ccc1[N+](=O)[O-])S[C@@H]2CC3(CC[C@H]2N)OCCO3,C81805119,P127595820
C[C@@H]1CC(CC[C@@H]1NC(=O)C(=O)Nc2cccn(c2=O)C)(C)C,C86463731,P135363436
CCc1c(c(nc(n1)c2cn[nH]n2)NC)I,C87601422,P137019648
CO[C@@H]1C[C@H]([NH2+]C1)/C(=N/c2c(ccc3c2nsn3)Cl)/[O-],C88126550,P137831784
CO[C@H]1C[C@H](NC1)C(=O)Nc2c(ccc3c2nsn3)Cl,C88126551,P137831787
CCc1[nH]c(cn1)S(=O)(=O)N2CCNCC23CCCCC3,C88396188,P138277463
CNc1ccc(nn1)C(=O)Nc2c(cccn2)Br,C88447431,P138349308
COC(=O)c1c2c(sc1NC(=O)N3CCCC3)CNCC2,C91968493,P143982629
CCc1c2c(n(n1)C)n(c(n2)N)[C@@H](C)c3c(nc(s3)C)C,C92578287,P144905931
CCC[NH+]1CCO[C@@H](C1)c2[nH]c(c(c(=O)n2)Br)[O-],C93917368,P147209425
CCN1[C@@H](C(=NC1=O)N)c2cc3c(c(c2)Br)OCCO3,C94514606,P148144245
CC[C@H](C)N1C(=O)[C@@H]2[C@H](N[C@@]3([C@@H]2C1=O)c4ccccc4NC3=O)C,C35375073,P149745093
Cc1ccc(c(c1)O)C(=O)N2CCC(CC2)c3cc(=O)[nH]c(n3)C,C95368970,P149792733
CC1=CC[C@H]2[C@@H](C1)C(=O)N(C2=O)c3ccc(cc3)S(=O)(=O)N,C95364949,P150029994
c1ccc(cc1)N2CC(=O)N(C2)c3ccc(cc3)S(=O)(=O)N,C33756312,P150842268
Cc1c(cn(n1)C)[C@H](C)NC(=O)N[C@@H]2[C@@H]3CCO[C@@H]3C24CCC4,C95973793,P151146180
Cc1c2c3c(c(=O)nc([nH]3)CC(=O)NC(C)C)sc2ns1,C96008318,P151202804
CSc1ccccc1NC(=O)N2CCc3c(nc[nH]c3=O)C2,C96013174,P151208954
C[C@@H]1C[C@H](c2ccccc2N1C(=O)/C=C/c3cnccn3)C(=O)N,C96998980,P153524870
Cc1c(sc(=O)n1CC(=O)N=c2[nH]c3ccccc3[nH]2)C,C55092756,P154035980
CC1CCC2(CC1)C(=O)N(C(=O)N2)CN3CCC(CC3)[C@H](C)O,C97595999,P154686596
Cc1c(c(nn1C)N)S(=O)(=O)N2CCCC(CC2)(C)C,C97831448,P155268962
COc1ccc(cc1OC)[C@@H]2c3c[nH]nc3N=C(CS2)O,C20744962,P155882372
Cc1c2c(n(n1)C)N=C(CS[C@@H]2c3ccc(c(c3)O)OC)O,C49544096,P155891588
CO[C@@H]1[C@H]([C@@H]([C@@H]2[C@H](O1)CO[C@H](O2)c3ccccc3)O)O,C12358732,P18157106
COc1cc(ccc1O)/C=C\2/C(=O)NC(=NC2=O)S,C18246687,P27275826
CC[C@H]1COCCN1C(=O)Cn2c(c(c(n2)C)N)C,C36322187,P53977085
Cc1c(c(n[nH]1)C)NC(=O)CN2CSCC2=O,C36733827,P54588431
CC(C)(C)C(=O)N1CCN(CC1)S(=O)(=O)N,C40217875,P61055063
C[C@H](C(=O)N1CCCC1)Sc2nnc(n2C)N,C42238658,P63911001
C[C@@H](C(=O)NC(=O)N[C@]1(CCS(=O)(=O)C1)C)Cl,C44882514,P67659212
CC1(OC[C@@H](O1)[C@@H]2[C@H]([C@H]3[C@H](O2)OC(O3)(C)C)N)C,C44960147,P67775411
CSc1ncc2c(n1)O[C@H]3CNC[C@@H]3NC2=O,C45796128,P68989135
C[C@@H]1CC(=O)N(C1=O)Cc2cc3c(cc2N)OCCO3,C40739505,P88202923
Cc1c(c(n(n1)c2c(=O)n(ccn2)C(C)C)C)N,C61769876,P94613242
Cc1csc2n1c(=O)c(c(n2)O)C(=O)NCC=C,C10166669,P95039944
CCN1[C@@H]([C@H](CC1=O)N)c2ccc(cc2)[N+](=O)[O-],C62209155,P95475447
c1c[nH]c(=NC(=O)C2CCN(CC2)C(=O)C3CC3)[nH]1,C70155345,P108130277
c1ccc(c(c1)[C@@H]2[C@@H](CC(=O)N2C3CC3)N)[N+](=O)[O-],C70293913,P108366656
Cc1cc/c(=N/S(=O)(=O)c2c[nH]ccc2=O)/[nH]c1,C71221013,P109972607
CC(C)[C@]1(C(=O)N[C@@]2(N1C(=O)c3c2nccc3)O)C,C34174097,P111199516
CC(C)(C)C(=O)NNC(=O)c1ccn(c(=O)c1)C,C77220261,P120461375
Cn1cc(c(=O)n(c1=O)C)C(=O)c2cc(ccc2F)N,C79877618,P124796107
CCn1cc(c(n1)C(=O)N(C)C2CCOCC2)N,C87875067,P137451716
c1cc(cc(c1)S(=O)(=O)N2CCOC[C@H]2N)C#N,C88378317,P138225322
C[C@@H](c1nnc(s1)c2ccc(cc2F)[N+](=O)[O-])N,C88810765,P138930718
Cc1c(c([nH]n1)S(=O)(=O)N2C[C@H]3CC[C@@H]2C3)CO,C88889952,P139044404
CCC1(CN(C1)S(=O)(=O)c2c([nH]nc2C)C)O,C89652484,P140155251
CN1C(=O)CC[C@@H](C1=O)n2c3ccccc3nc2N,C90032181,P140827426
CCc1c(c(n(n1)C)C(=O)N(C)C2CCOCC2)N,C90150349,P140907092
c1ccc(c(c1)CN)Cn2c(=O)n3ccncc3n2,C90694696,P141863040
Cn1cc(c(=O)n(c1=O)C[C@H]2Cc3ccccc3O2)N,C90874849,P142145593
Cc1c(ccc[nH+]1)[N-]S(=O)(=O)c2c[nH]nc2C,C91497871,P143184312
Cc1nnc(n1C2CCCC2)[C@H]3Cc4c([nH]cn4)CN3,C92778988,P145268798
c1ccc2c(c1)C(=O)N(C2=O)CN3C[C@H]([C@H](C3)O)O,C93092959,P145750639
c1c(c(=O)[nH]c(=O)n1C[C@@H]2CCC[C@H]2CO)C#N,C94343319,P147869487
c1c(c(=O)[nH]c(=O)n1C[C@@H]2CCCC[C@@H]2CO)C#N,C94343330,P147869497
CN[C@@H](c1[nH]ncn1)[C@@H]2CCO[C@@]3(C2)CCOC3,C94405535,P147957106
CN[C@H](c1[nH]ncn1)[C@H]2CCO[C@@]3(C2)CCOC3,C94405538,P147957109
Cc1c(nnn1[C@@H]2CCOC3(C2)CCOCC3)N,C94419216,P147970155
c1cc2c(cc1N)nc(o2)CN3C(=O)[C@@H]4C[C@@H]4C3=O,C94495134,P148112786
Cn1c(c(cn1)c2nc(no2)[C@@H]3CSCCS3)N,C94495786,P148113440
c1c(cncc1N)c2nc(no2)[C@@H]3CSCCO3,C94502154,P148122651
Cc1c(c(n(n1)C)C)[C@H]2C(=NC(=O)N2C3CC3)N,C94513141,P148142681
CN1CCC(CC1)(C#N)NC(=O)N[C@@H]2CCOC2,C94890646,P148742469
C[C@@H]1C[NH2+][C@@H](CN1C(=O)c2[n-]nc(n2)C(C)C)C,C95046698,P149002282
CC(C)c1[n-]nc(n1)C(=O)N2CC[C@@H]3[C@H]2C[NH2+]C3,C95044973,P149004565
CC1(Cc2c(nc([nH]2)[C@@H]3COCCO3)C(=O)NC1)C,C95376984,P149809209
CC[C@@H](C(=O)/N=c/1\[nH]cc([nH]1)C)N2CCCC2=O,C95429561,P149907214
C[C@H]1CC[C@H](O1)C(=O)Nc2[nH]nc(n2)C3CCC3,C97136367,P153804702
CC[C@@H]1C(=O)NC(=O)CN1c2nc(cs2)[C@@H](C)O,C97321299,P154123656
